scenario_id,emissionBased,sampleFraction,startDay,adlWorstCase,btcBaseRate,btcRateMultiplier,btcPositionMultiplier,btcReferenceNotional,ethBaseRate,ethRateMultiplier,ethPositionMultiplier,ethReferenceNotional,stakerPct,nTrades,nLiquidated,liqPct,finalLp,finalPaper,finalStakers,finalFrontend,traderLoss,traderWin,traderNet,lpGained,lpLost,lpMin,lpMax,totalVolume,maxOi,marginalMintRate,feesPerStakedPaper,costPerPaper,tailProgress,maxDebt,maxQueueLen,totalQueued,totalQueuePaid,queueRemaining,debtRemaining,avgQueueWait,finalBtcLp,finalEthLp,btcNTrades,ethNTrades,btcNLiq,ethNLiq,btcLiqPct,ethLiqPct,btcTraderLoss,ethTraderLoss,btcTraderWin,ethTraderWin
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d147_adl=on_emOff,False,1.0,147,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1721207,1409319,81.88,5000000.0,5780628867.6,89851497.07,1070526.99,105455336.72,9533312.66,-95922024.06,14565259.9,9533312.66,635830.27,5000000.0,123157000966.94,3911590082.12,28.9304,0.015544,0.018243,103102414.76,0.0,0,0,0,0,0.0,0,2681812.92,2350134.32,1401620,319587,1117870,291449,79.756,91.196,75413763.12,30041573.6,7732583.01,1800729.65
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d147_adl=on_emOn,True,1.0,147,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1721207,1409319,81.88,5000000.0,4492933394.22,56740778.1,693362.65,68347409.85,5913269.1,-62434140.75,10933046.2,5913269.1,635830.27,5000000.0,76799296102.93,3911590082.12,41.6254,0.012629,0.015212,65995319.2,0.0,0,0,0,0,0.0,0,2935787.45,2083989.65,1401620,319587,1117870,291449,79.756,91.196,48805191.63,19542218.21,4739908.53,1173360.57
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d14_adl=off_emOff,False,1.0,14,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,3447394,2859650,82.95,5000000.0,8438931755.15,229186396.75,2660635.26,261830484.75,24983452.74,-236847032.01,30068113.57,24983452.74,1709313.95,5000000.0,321980330531.65,6430541278.0,9.9992,0.027158,0.031026,259488098.79,0.0,0,0,0,0,0.0,0,-59879.73,5144540.56,2548903,898491,2039002,820648,79.995,91.336,163622132.44,98208352.3,17796111.86,7187340.87
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d14_adl=off_emOn,True,1.0,14,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,3447394,2859650,82.95,5000000.0,6267038714.19,106243184.7,1255853.13,123687036.1,11187998.27,-112499037.83,16225963.81,11187998.27,1709313.95,5000000.0,143400031663.16,6430541278.0,24.7214,0.016953,0.019736,121348395.66,0.0,0,0,0,0,0.0,0,783811.97,4254153.56,2548903,898491,2039002,820648,79.995,91.336,71597677.2,52089358.89,7343551.9,3844446.37
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d14_adl=on_emOff,False,1.0,14,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,3447394,2859650,82.95,5000000.0,8438931755.15,229118743.94,2660711.32,261830484.75,25051029.49,-236779455.26,30135842.43,25051029.49,1709313.95,5000000.0,321980330531.65,6430541278.0,9.9992,0.02715,0.031026,259488098.79,0.0,0,0,0,0,0.0,0,-85619.96,5170432.9,2548903,898491,2039002,820648,79.995,91.336,163622132.44,98208352.3,17859356.13,7191673.36
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d14_adl=on_emOn,True,1.0,14,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,3447394,2859650,82.95,5000000.0,6267038714.19,106210702.94,1255889.65,123687036.1,11220443.51,-112466592.59,16258482.09,11220443.51,1709313.95,5000000.0,143400031663.16,6430541278.0,24.7214,0.016948,0.019736,121348395.66,0.0,0,0,0,0,0.0,0,771444.73,4266593.85,2548903,898491,2039002,820648,79.995,91.336,71597677.2,52089358.89,7373894.28,3846549.23
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d154_adl=off_emOff,False,1.0,154,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1676178,1373601,81.95,5000000.0,5689346976.81,87182094.91,1039364.69,102397383.29,9175923.68,-93221459.61,14206705.41,9175923.68,812581.39,5000000.0,119534302977.52,3911590082.12,29.7339,0.015324,0.017998,100067192.69,0.0,0,0,0,0,0.0,0,2777123.31,2253658.41,1365864,310314,1090086,283515,79.809,91.364,73362825.94,29034557.35,7479118.18,1696805.5
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d154_adl=off_emOn,True,1.0,154,False,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1676178,1373601,81.95,5000000.0,4432625349.98,55549368.3,678973.12,66940577.25,5712235.83,-61228341.42,10731370.53,5712235.83,812581.39,5000000.0,75279999263.34,3911590082.12,42.2519,0.012532,0.015102,64611179.71,0.0,0,0,0,0,0.0,0,3018152.63,2000982.07,1365864,310314,1090086,283515,79.809,91.364,47923495.05,19017082.2,4610194.07,1102041.76
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d154_adl=on_emOff,False,1.0,154,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1676178,1373601,81.95,5000000.0,5689346976.81,87182090.58,1039364.7,102397383.29,9175928.01,-93221455.28,14206709.74,9175928.01,812581.39,5000000.0,119534302977.52,3911590082.12,29.7339,0.015324,0.017998,100067192.69,0.0,0,0,0,0,0.0,0,2777123.31,2253658.42,1365864,310314,1090086,283515,79.809,91.364,73362825.94,29034557.35,7479118.18,1696809.82
br=0.1_btcRN=100000_ethRN=100000_flow=100%_start=d154_adl=on_emOn,True,1.0,154,True,0.1,15000.0,1384615385.0,100000.0,0.1,15000.0,923076923.0,100000.0,0.01,1676178,1373601,81.95,5000000.0,4432625349.98,55549366.34,678973.13,66940577.25,5712237.78,-61228339.47,10731372.49,5712237.78,812581.39,5000000.0,75279999263.34,3911590082.12,42.2519,0.012532,0.015102,64611179.71,0.0,0,0,0,0,0.0,0,3018152.63,2000982.07,1365864,310314,1090086,283515,79.809,91.364,47923495.05,19017082.2,4610194.07,1102043.71
